,Institution,C_ID,% Fraternity,% Sorority,Fraternity,Sorority
389,SUNY College of Environmental Science and Forestry,NYES,0.02,0.02,1,1
390,SUNY Cortland,CTRL,0,0,1,1
391,SUNY Oneonta,ONTA,0,0,1,1
392,Texas A & M University-College Station,TAM,0.06,0.15,1,1
393,Swarthmore College,SWAR,0,0,0,0
394,Temple University,TEMP,0.04,0.07,1,1
395,Tennessee Technological University,TENN,0.08,0.09,1,1
396,Texas State University,TXST,0.05,0.05,1,1
397,The College of New Jersey,UNJ,0.21,0.21,1,1
398,The College of Wooster,WOOS,0.13,0.2,0,0
399,The University of Montana,MTNA,0.06,0.06,1,1
400,The University of Tennessee-Chattanooga,CHAT,0.12,0.17,1,1
401,The University of Tennessee-Knoxville,UTK,0.05,0.14,1,1
402,St. John's College (NM),SJNM,0.05,0.09,1,1
403,The University of Texas at Austin,TEX,0.12,0.16,1,1
404,University of Utah,UTAH,0.06,0.08,1,1
405,The University of the South,SOTH,0.57,0.72,1,1
406,United States Air Force Academy,AF,0,0,0,0
407,Towson University,TOWS,0.08,0.09,1,1
408,Trinity College,TRIN,0.29,0.17,1,1
409,Truman State University,TRUM,0.22,0.21,1,1
410,Tufts University,TUFT,0.1,0.15,1,1
411,Union College,UNIO,0.21,0.37,1,1
412,United States Coast Guard Academy,CGRD,0,0,0,0
413,United States Merchant Marine Academy,MMAR,0,0,0,0
414,United States Military Academy,ARMY,0,0,0,0
415,United States Naval Academy,NAVY,0,0,0,0
416,University at Buffalo,BUF,0.01,0.02,1,1
417,University of Akron Main Campus,AKR,0.04,0.04,1,1
418,University of Alabama,ALA,0.27,0.4,1,1
419,University of Arizona,AZ,0.09,0.17,1,1
420,University of Arkansas,ARK,0.25,0.38,1,1
421,"University of California, Berkeley",CAL,0.01,0.07,1,1
422,"University of California, Davis",UCDV,0,0,1,1
423,"University of California, Irvine",UCIV,0.08,0.09,1,1
424,"University of California, Los Angeles",UCLA,0.11,0.13,1,1
425,"University of California, Merced",MRCD,0.08,0.08,1,1
426,"University of California, Riverside",UCRS,0.04,0.06,1,1
427,"University of California, San Diego",UCSD,0.08,0.08,1,1
428,"University of California, Santa Barbara",UCSB,0.1,0.07,1,1
429,"University of California, Santa Cruz",SCRZ,0.03,0.05,1,1
430,University of Colorado Boulder,COL,0.1,0.22,1,1
431,University of Connecticut,CONN,0.1,0.12,1,1
432,University of Houston,HOU,0.02,0.04,1,1
433,University of Idaho,ID,0.22,0.25,1,1
434,University of Illinois at Urbana-Champaign,UIUC,0.21,0.27,1,1
435,University of Iowa,IOWA,0.13,0.17,1,1
436,University of Kentucky,UK,0.21,0.33,1,1
437,University of Louisiana at Lafayette,LA,0.09,0.12,1,1
438,University of Maine,ME,0.16,0.16,1,1
439,University of Mary Washington,MWSH,0,0,0,0
440,"University of Maryland, Baltimore County",UMBC,0.03,0.05,1,1
441,"University of Maryland, College Park",MD,0.14,0.19,1,1
442,The University of Texas at Arlington,UTA,0.05,0.03,1,1
443,University of Massachusetts Boston,MSBO,0,0,0,0
444,University of Massachusetts Lowell,MSLW,0,0,1,1
445,University of Memphis,MEM,0,0,1,1
446,University of Michigan,MICH,0.08,0.17,1,1
447,University of Michigan-Dearborn,MIDB,0,0,1,1
448,University of Minnesota-Duluth,MNDT,0,0,1,1
